Keyword,Song title,Artist,Release date,Page views,Lyrics
Ginobili,Jumpman,Drake & Future,2015-09-20,3238175,"tempo like I'm DJ Mustard, woo
I hit that Ginóbili with my left hand up like woo
Lobster and"
Ginobili,Shotta Flow,NLE Choppa,2019-01-10,1319596,"If he wanna run up on me, shoot him like Ginobili
And I'm with the shit, lil' homie, yeah"
Ginobili,Shotta Flow (Remix),NLE Choppa & Blueface,2019-07-01,784435,"If he wanna run up on me, shoot him like Ginobili
And I'm with the shit, lil' homie, yeah"
Ginobili,Pop Smoke - Hello ft. A Boogie wit da Hoodie (Tradução em Português),Genius Brasil Traduções,2020-07-20,568167,"Ask around, niggas know me
I'm a Europe boy, Ginóbili
I like my bitches redbone, ass fat, Jell-O"
Ginobili,Anti,SOB X RBE,2016-09-28,413279,"yellow, no Kobe
Got OGs that'll still shoot like Ginobili
A band for my coat like I live where"
Ginobili,Big Daddy,Nicki Minaj,2014-12-12,333608,"re-up on
Spur of the moment, I ball like Ginóbili, you bitches get D'ed up on
You mad"
Ginobili,Tim Westwood Freestyle,Juice WRLD,2018-06-29,290590,"like Kobe or somethin'
Super clutch in the fourth like Ginobili or somethin'
You say you ballin' like you Jordan"
Ginobili,No Time,Playboi Carti,2018-05-11,261813,"Dunkin' on your ho like no B
Bald head like Ginóbili
Piru, watch my nose bleed
That boy dead
Arm"
Ginobili,Baby Are You Home,Lil Uzi Vert,2016-04-15,201409,"Ginobili
Like, boy, your style so old (What?)
Balding like Ginobili (What?)
Pull up in that Porsche
Brittany in the"
Ginobili,Athlete References in Rap Music,Rap Genius,,194747,"Gasol
Pau Gasol
Rudy Gay
Paul George
Daniel Gibson
Manu Ginóbili
Brittney Griner
Drew Gooden
Danny Granger
Horace Grant
Draymond"
Ginobili,Wait for a Minute,Tyga & Justin Bieber,2013-10-22,193569,"9-5 Rollie, 96 Kobe
Tonight we gon' ball like Ginobili, you know me
I'm just tryna...
Slow dance"
Ginobili,Holy Moly,Blueface,2020-03-06,153225,"like a donut (Holy moly)
Pull up and shoot like Ginóbili (Ginóbili)
Can't wear the Rollie without the pollie"
Ginobili,For Hot 97,Lil Yachty,2016-07-20,130871,"I ball like I'm Kobe but it's 20, Ginobili
My niggas not foldin', talk down, cut you open"
